,intensity
456,23.41288549393079
457,23.207705045633528
458,22.915911195221963
459,22.555244803272185
460,22.167990649451074
461,21.758429738611966
462,21.420410320197796
463,21.3507854868085
464,21.373368232552934
465,21.367459275764883
466,21.373855982214625
467,21.387573385020808
468,21.358554505865715
469,21.378807881322302
470,21.376894401880286
471,21.36482021305821
472,21.366015104341546
473,21.372869672272927
474,21.358314764506577
475,21.369153999165675
476,21.353350147024408
477,20.595067941556525
478,20.591879445071886
479,20.582914262893887
480,20.58663565926966
481,20.594082903452275
482,20.579978862061598
483,20.602747931992308
484,20.594868263077032
485,21.344823112847592
486,21.35603690363542
487,21.361945224504748
488,21.34993589939257
489,21.362781457627463
490,21.355282704028163
491,21.34524345512449
492,21.35591544315904
493,21.353636310450433
494,21.341602184508
495,21.363692093240946
496,21.352214396182454
497,21.37476788966556
498,21.352682432363686
499,21.362791632327056
500,21.36150198915377
501,20.60059407527243
502,20.59416112145539
503,20.57769146240957
504,20.59053765656319
505,20.584955561999532
506,20.603327889869053
507,20.59142794277749
508,20.58863816733311
509,20.58006789068303
510,20.597929575816774
511,20.592498829909548
512,20.581492348625908
513,20.583033815614094
514,20.58531612791632
515,20.57708161635278
516,20.648625016533888
517,21.73199205355962
518,22.16949396131579
519,22.574332539706766
520,22.927459479258875
521,23.213455022740455
522,23.398985582450678
523,23.552668696519234
524,23.574092162428904
525,23.55433734725232
526,23.469071456915234
527,23.29337410844195
528,23.054689646225697
529,22.76811796037972
530,22.36922395022537
531,21.949756697496007
532,21.53405090402206
533,21.349621755542668
534,21.347721630393863
535,21.346690170222725
536,21.348980113549647
537,21.373726890713552
538,21.359189152752766
539,21.34572420968021
540,21.347753426330087
541,20.578686675213415
542,20.563056428883936
543,20.571912868960045
544,20.586817532024867
545,20.576897199922673
546,20.55930196473449
547,20.58682325529339
548,20.5933229805765
549,21.343456523508642
550,21.350364508612884
551,21.34047024917839
552,21.353027100312364
553,21.341851464648006
554,21.35398860942381
555,21.360401849760386
556,21.34524091144959
557,20.58369707884375
558,20.594413581189016
559,20.56549072576132
560,20.572008892687442
561,20.571021310908296
562,20.579259002065463
563,20.567838537692175
564,20.569837230243277
565,21.32257549627097
566,21.327914033963147
567,21.32518403487887
568,21.331384878361465
569,21.331439567371774
570,21.328860916943928
571,21.324281666208805
572,21.32133736251437
573,20.56392064243053
574,20.57045534324349
575,20.56415211684625
576,20.563860866070428
577,20.581079637373705
578,20.586476679588536
579,20.567883687921615
580,20.57338883631961
581,21.340779941597223
582,21.33329772188476
583,21.354339000641005
584,21.335062396345247
585,21.33432218694993
586,21.34612992582644
587,21.53654243358465
588,21.91056884201744
589,21.589873121496087
590,21.97929703000519
591,22.30907430583112
592,22.55523144897897
593,22.718367494887215
594,22.825046040515655
595,22.830574717906455
596,22.777261199800577
597,23.3722331176297
598,23.17529926335175
599,22.89361397698483
600,22.557787842251457
601,22.158542804961183
602,21.716764979701473
603,21.407215642583154
604,21.34940554317634
605,20.556053691889748
606,20.555486452387495
607,20.55173771150657
608,20.542032319933256
609,20.564714268998706
610,20.547990878381817
611,20.56019352278624
612,20.56557212335806
613,21.33929252770062
614,21.346838339285533
615,21.332864661233376
616,21.32265435019281
617,21.319661716675316
618,21.332692963177763
619,21.319390179379955
620,21.341371981929733
621,21.355524353143473
622,21.338775525777603
623,21.352064955282195
624,21.342835230914808
625,21.336742493615375
626,21.32954961692256
627,21.336257923547308
628,21.333148280984503
629,21.32340600612517
630,21.325615823692804
631,21.332293606218776
632,21.322627005687657
633,21.32542314031928
634,21.32748351698666
635,21.336432801196544
636,21.30873790482586
637,20.57207057680372
638,20.562804605069037
639,20.564482158664266
640,20.562512082455765
641,20.574552567585442
642,20.549443952667296
643,20.556593586886848
644,20.574586907196565
645,20.56434988756957
646,20.55556530630933
647,20.568192108502995
648,20.580460252536042
649,20.559590671835416
650,20.555979925317704
651,20.551740255181464
652,20.573834615345483
653,21.312903172471334
654,21.326993859568795
655,21.330107317643947
656,21.32060224046885
657,21.377998356786016
658,21.67056739212275
659,22.0816894834305
660,22.510899011019198
661,22.86956861817405
662,23.14374243256718
663,23.358057217423156
664,23.48379233946868
665,23.55526706042754
666,23.544378224107934
667,23.44351324745887
668,23.29726084368609
669,22.330637673860178
670,21.983167231362494
671,21.626117309198946
672,21.212289383718446
673,20.797199795488538
674,20.588730375548163
675,20.571250241649114
676,20.5450236816133
677,21.31400839921451
678,21.3198067061445
679,21.329931804075983
680,21.31563762298668
681,21.341651786168512
682,21.314311096527376
683,21.314962277301262
684,21.307878142710337
685,20.548781961275093
686,20.549662708708524
687,20.55320604784144
688,20.552837214981228
689,20.55275009411597
690,20.553806355117366
691,20.55199780226489
692,20.552014336151725
693,21.302489367438927
694,21.29557184355382
695,21.319691604855368
696,21.32240252637791
697,21.326890204816703
698,21.311586820711618
699,21.313553081407772
700,21.31232448643204
701,21.325428863587803
702,21.322430506801787
703,21.295993457668164
704,21.307082608385986
705,21.305403147034585
706,21.31549072576132
707,21.31838097636417
708,21.33077884781702
709,21.322111275602087
710,21.32489024042815
711,21.32444318956483
712,21.326191966057202
713,21.30800023910544
714,21.311024032640436
715,21.304666117232888
716,21.291389406102784
717,20.547836350131764
718,20.553816529816956
719,20.551341534141205
720,20.552164412970708
721,20.54464085854115
722,20.568131060305443
723,20.547940004883856
724,20.540279092009808
725,20.54809707680881
